"NBN Atlas record ID","Occurrence ID","Licence","Rightsholder","Scientific name","Taxon author","Name qualifier","Common name","Species ID (TVK)","Taxon Rank","Occurrence status","Start date","Start date day","Start date month","Start date year","End date","End date day","End date month","End date year","Locality","OSGR","Latitude (WGS84)","Longitude (WGS84)","Coordinate uncertainty (m)","Verbatim depth","Recorder","Determiner","Individual count","Abundance","Abundance scale","Organism scope","Organism remarks","Sex","Life stage","Occurrence remarks","Identification verification status","Basis of record","Survey key","Dataset name","Dataset ID","Data provider","Data provider ID","Institution code","Kingdom","Phylum","Class","Order","Family","Genus","OSGR 100km","OSGR 10km","OSGR 2km","OSGR 1km","Country","State/Province","Vitality"
"b4ed0970-3da5-4137-8770-5705ef09317f","iBRC18380208.La","CC-BY","British Dragonfly Society","Aeshna caerulea","(Strom, 1783)","","Azure Hawker","NBNSYS0000005623","species","present","2020-11-23","23","11","2020","","","","","Moor between L Loyne and L Garry","NH185046","57.096936","-4.99683","70.7","","Batty, Pat","Batty, Pat","1","","","","","","larva","12mm &3 cast skins 1x1m pool","Accepted - considered correct","HumanObservation","iRecord | DRN dragonfly imports","Dragonfly records from the British Dragonfly Society Recording Scheme","dr731","British Dragonfly Society Recording Scheme","dp97","BDS","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna","NH","NH10","NH10X","NH1804","United Kingdom","Scotland",""
"9975aa61-8001-42e7-be43-21284bdcd6ad","iBRC18380152.La","CC-BY","British Dragonfly Society","Aeshna caerulea","(Strom, 1783)","","Azure Hawker","NBNSYS0000005623","species","present","2020-11-23","23","11","2020","","","","","Moor between L Loyne and L Garry","NH185046","57.096936","-4.99683","70.7","","Batty, Pat","Batty, Pat","1","","","","","","larva","12mm &3 cast skins 1x1m pool","Accepted - considered correct","HumanObservation","iRecord | DRN dragonfly imports","Dragonfly records from the British Dragonfly Society Recording Scheme","dr731","British Dragonfly Society Recording Scheme","dp97","BDS","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna","NH","NH10","NH10X","NH1804","United Kingdom","Scotland",""
"8c729be2-1a68-4d5a-8fb9-410e5fe213bc","iBRC18380207.La","CC-BY","British Dragonfly Society","Aeshna caerulea","(Strom, 1783)","","Azure Hawker","NBNSYS0000005623","species","present","2020-11-20","20","11","2020","","","","","Sligachan pools","NG47262914","57.282784","-6.195319","7.1","","Batty, Pat","Batty, Pat","1","","","","","","larva","36mm wings 5/6 segment very wet pools full","Accepted - considered correct","HumanObservation","iRecord | DRN dragonfly imports","Dragonfly records from the British Dragonfly Society Recording Scheme","dr731","British Dragonfly Society Recording Scheme","dp97","BDS","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna","NG","NG42","NG42U","NG4729","United Kingdom","Scotland",""
"7bc6879b-a008-4d65-8493-9bad0a7335b9","iBRC18380151.La","CC-BY","British Dragonfly Society","Aeshna caerulea","(Strom, 1783)","","Azure Hawker","NBNSYS0000005623","species","present","2020-11-20","20","11","2020","","","","","Sligachan pools","NG47262914","57.282784","-6.195319","7.1","","Batty, Pat","Batty, Pat","1","","","","","","larva","36mm wings 5/6 segment very wet pools full","Accepted - considered correct","HumanObservation","iRecord | DRN dragonfly imports","Dragonfly records from the British Dragonfly Society Recording Scheme","dr731","British Dragonfly Society Recording Scheme","dp97","BDS","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna","NG","NG42","NG42U","NG4729","United Kingdom","Scotland",""
"feaaaeb9-d61c-4792-b6ce-b927881b775a","ADIT800400070645.Ad","CC-BY","British Dragonfly Society","Aeshna caerulea","(Strom, 1783)","","Azure Hawker","NBNSYS0000005623","species","present","2014-10-31","31","10","2014","","","","","Corrour Track east","NN359666","56.762482","-4.685362","70.7","","Kari McKenzie Dodds;Ruary MacKenzie Dodds","","2–5","","","","","","adult","","Accepted - considered correct","HumanObservation","British Dragonfly Society | DRN","Dragonfly records from the British Dragonfly Society Recording Scheme","dr731","British Dragonfly Society Recording Scheme","dp97","BDS","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna","NN","NN36","NN36N","NN3566","United Kingdom","Scotland",""
"d81fb181-a084-4874-ac0b-c501f33ca990","793678","CC-BY-NC","BTO","Aeshna caerulea","(Strom, 1783)","","Azure Hawker","NBNSYS0000005623","species","present","2012-10-14","14","10","2012","","","","","","ND0663","58.549488","-3.608261","707.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Non-avian taxa (BTO+partners)","dr529","British Trust for Ornithology","dp29","BTO","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna","ND","ND06","ND06R","ND0663","United Kingdom","Scotland","alive"
"ba1b2881-93f8-4875-881a-a21e3883711b","CI00016600008ALT","CC-BY","Highland Biological Recording Group","Aeshna caerulea","(Strom, 1783)","","Azure Hawker","NBNSYS0000005623","species","present","2011-10-04","04","10","2011","","","","","Carn Mhic an Toisich","NH3125218957","57.230137","-4.797135","0.7","","Jonathan Willet","Jonathan J. Willet","1","","","","1 Larvae (Exact)","","larvae","Larval skin 1cm.","Accepted - considered correct","HumanObservation","CI0001660000001O","HBRG Insects Dataset Vol 1","dr965","Highland Biological Recording Group","dp7","HBRG","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna","NH","NH31","NH31E","NH3118","United Kingdom","Scotland",""
"78e4eec1-adf2-46c6-8213-c9e62d7094df","ADIT800400047685.La","CC-BY","British Dragonfly Society","Aeshna caerulea","(Strom, 1783)","","Azure Hawker","NBNSYS0000005623","species","present","2011-10-04","04","10","2011","","","","","Carn Mhic an Toisich","NH3117018951","57.230053","-4.798487","0.7","","Jonathon Willet","","1","","","","","","larva","","Accepted - considered correct","HumanObservation","British Dragonfly Society | DRN","Dragonfly records from the British Dragonfly Society Recording Scheme","dr731","British Dragonfly Society Recording Scheme","dp97","BDS","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna","NH","NH31","NH31E","NH3118","United Kingdom","Scotland",""
"739aaa4d-d3f8-43de-93a8-bcdd92d72e10","iBRC4716303.La","CC-BY","British Dragonfly Society","Aeshna caerulea","(Strom, 1783)","","Azure Hawker","NBNSYS0000005623","species","present","2015-10-11","11","10","2015","","","","","Maud Loch","NN72366699","56.776981","-4.090323","7.1","","Corcoran, Stephen","Corcoran, Stephen","1","","","","","","larva","Picked larvae out of a small bog pool by hand","Accepted","HumanObservation","iRecord | DRN dragonfly imports","Dragonfly records from the British Dragonfly Society Recording Scheme","dr731","British Dragonfly Society Recording Scheme","dp97","BDS","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna","NN","NN76","NN76I","NN7266","United Kingdom","Scotland",""
"6dd5e048-25de-4ed1-99d3-b52f18097ea8","CI00016600008AJM","CC-BY","Highland Biological Recording Group","Aeshna caerulea","(Strom, 1783)","","Azure Hawker","NBNSYS0000005623","species","present","2011-10-04","04","10","2011","","","","","An Suidhe","NH3058218311","57.224094","-4.807778","0.7","","Jonathan Willet","Jonathan J. Willet","1","","","","1 Larvae (Exact)","","larvae","1cm.","Accepted - considered correct","HumanObservation","CI0001660000001O","HBRG Insects Dataset Vol 1","dr965","Highland Biological Recording Group","dp7","HBRG","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna","NH","NH31","NH31E","NH3018","United Kingdom","Scotland",""
